,author,comment_count,language,received_for_free,recommendationid,review,steam_purchase,timestamp_created,timestamp_updated,voted_up,votes_funny,votes_up,weighted_vote_score,written_during_early_access
31,"{'steamid': '76561198172618694', 'num_games_owned': 3, 'num_reviews': 2, 'playtime_forever': 43191, 'playtime_last_two_weeks': 28, 'last_played': 1554434158}",0,english,False,50042670,GG,True,1554794286,1554794286,True,0,1,0,False
32,"{'steamid': '76561198418913237', 'num_games_owned': 35, 'num_reviews': 1, 'playtime_forever': 6967, 'playtime_last_two_weeks': 462, 'last_played': 1554787861}",0,english,False,50041822,"This game is plagued with hackers and aim-bots. Save your money unless you like getting 3 shotted by a pistol, cross map, thru a door. 
",True,1554788036,1554788036,False,0,1,0.501058340072631836,False
33,"{'steamid': '76561198122178981', 'num_games_owned': 3, 'num_reviews': 1, 'playtime_forever': 1072, 'playtime_last_two_weeks': 197, 'last_played': 1554711844}",0,english,False,50041494,This Game is Nice. I recommend this game,True,1554786101,1554786101,True,0,1,0,False
34,"{'steamid': '76561198396303611', 'num_games_owned': 8, 'num_reviews': 2, 'playtime_forever': 493, 'playtime_last_two_weeks': 29, 'last_played': 1554856872}",0,english,False,50039952,Sometimes it's laggy but it's a good game if you have a good PC,True,1554775210,1554775210,True,0,1,0,False
35,"{'steamid': '76561198871738263', 'num_games_owned': 1, 'num_reviews': 1, 'playtime_forever': 854, 'playtime_last_two_weeks': 764, 'last_played': 1554844145}",0,english,False,50039502,vbbfbv,True,1554772438,1554772438,True,0,0,0,False
36,"{'steamid': '76561198448450650', 'num_games_owned': 5, 'num_reviews': 1, 'playtime_forever': 74634, 'playtime_last_two_weeks': 530, 'last_played': 1554781746}",0,english,False,50039404,"This game is really really good

",True,1554771797,1554771797,True,0,0,0,False
37,"{'steamid': '76561198881721273', 'num_games_owned': 1, 'num_reviews': 1, 'playtime_forever': 586, 'playtime_last_two_weeks': 586, 'last_played': 1554845712}",0,english,False,50039239,"wish
wish
wish
buy
launch
crash
again
crash
play
crash
I have gaming laptop why I cant play for 1 hour?
",True,1554770719,1554770719,False,0,0,0,False
38,"{'steamid': '76561198218123348', 'num_games_owned': 21, 'num_reviews': 1, 'playtime_forever': 5379, 'playtime_last_two_weeks': 101, 'last_played': 1554239450}",0,english,False,50039229,Fucking Shit...,True,1554770610,1554770610,False,0,0,0,False
39,"{'steamid': '76561198165374713', 'num_games_owned': 29, 'num_reviews': 1, 'playtime_forever': 30739, 'playtime_last_two_weeks': 1408, 'last_played': 1554612683}",0,english,False,50039064,Nothing creates tense moments like PUBG,True,1554769317,1554769317,True,0,1,0,False
40,"{'steamid': '76561198838324419', 'num_games_owned': 6, 'num_reviews': 6, 'playtime_forever': 654, 'playtime_last_two_weeks': 18, 'last_played': 1554761328}",0,english,True,50037956,Nice game !,True,1554762752,1554762752,True,0,0,0,False
41,"{'steamid': '76561198451890257', 'num_games_owned': 2, 'num_reviews': 1, 'playtime_forever': 10197, 'playtime_last_two_weeks': 0, 'last_played': 1553439146}",0,english,False,50037839,best game,True,1554762044,1554762044,True,0,1,0.523809552192687988,False
42,"{'steamid': '76561198870183121', 'num_games_owned': 1, 'num_reviews': 1, 'playtime_forever': 30200, 'playtime_last_two_weeks': 1192, 'last_played': 1554602308}",0,english,False,50037555,Nice Game !,True,1554760270,1554760270,True,0,0,0,False
43,"{'steamid': '76561198858780879', 'num_games_owned': 3, 'num_reviews': 1, 'playtime_forever': 1282, 'playtime_last_two_weeks': 1033, 'last_played': 1554757258}",0,english,False,50036163,i love pubg,True,1554753236,1554753236,True,1,1,0.523809552192687988,False
44,"{'steamid': '76561198114246554', 'num_games_owned': 56, 'num_reviews': 4, 'playtime_forever': 12530, 'playtime_last_two_weeks': 109, 'last_played': 1554828124}",0,english,False,50035910,"I'd like to love this game, I really really really really really want to. I watch Shroud, Doc, and several other major names that play this game and they do some of the coolest stuff. Even when I watch Fitz screwing around in it, I wonder what I could do to have fun for myself, but I always come back to the same stuff every time whenever I get on;
Freezing on parachuting
Freezing when landing
Freezing when picking up a weapon
Lag when shooting

and the list goes on.

If this was like two years ago, before I bought my gaming PC and upgraded my internet, then I'd be totally understanding, but see two years ago, I didn't complain and my internet and PC were shit at the time and it was a fantastic game.

Honestly, I don't understand what the honest fuck is hell is going on. I love FPS games, but this company is turning this game into a joke.

Call my statement a heavy accusation or whatever, but it's the truth. There are thousands of fans who are less and less loyal because you play favoritism to certain people, regions, or whatever and it's pissing a lot of us off.",True,1554752269,1554752269,False,0,0,0.47826087474822998,False
45,"{'steamid': '76561198247323260', 'num_games_owned': 84, 'num_reviews': 24, 'playtime_forever': 1245, 'playtime_last_two_weeks': 0, 'last_played': 1546289728}",0,english,False,50035741,"Love the combat (Somewhat, recoil and other stuff could be better) But its good to play sometimes.",True,1554751430,1554751430,True,0,0,0,False
46,"{'steamid': '76561198273324311', 'num_games_owned': 1, 'num_reviews': 1, 'playtime_forever': 53, 'playtime_last_two_weeks': 53, 'last_played': 1554745268}",0,english,False,50034306,Useless Game Very Laggy And Crap..,True,1554745578,1554745578,False,0,0,0,False
47,"{'steamid': '76561198442820575', 'num_games_owned': 1, 'num_reviews': 1, 'playtime_forever': 43, 'playtime_last_two_weeks': 43, 'last_played': 1554766970}",0,english,False,50034153,"I can't play pubg. After install, when i click play button, it says ""Cannot find MSVCP140.dll. Please, re-install this application."" After i re-install, it happens again. Please what can i do ?",True,1554744900,1554744900,True,0,0,0,False
48,"{'steamid': '76561198078549063', 'num_games_owned': 35, 'num_reviews': 13, 'playtime_forever': 15380, 'playtime_last_two_weeks': 577, 'last_played': 1554831000}",0,english,False,50034106,"don't buy, shitter each day.",True,1554744677,1554744677,False,0,0,0,False
49,"{'steamid': '76561198098669902', 'num_games_owned': 48, 'num_reviews': 1, 'playtime_forever': 1877, 'playtime_last_two_weeks': 79, 'last_played': 1554783620}",0,english,False,50033797,"BEST GAME WHERE YOU LAND , RUN , LOOT AND FINALLY WIN EZPZ LEMON SQUIZY

10/11 WOULD RECOMMEND THIS GAME",True,1554743281,1554743356,True,0,0,0,False
50,"{'steamid': '76561198277431869', 'num_games_owned': 107, 'num_reviews': 3, 'playtime_forever': 39305, 'playtime_last_two_weeks': 0, 'last_played': 1549316666}",0,english,False,50033761,This game used to be good at it early stages but now... It has gone way too far,True,1554743142,1554743142,False,0,0,0,False
51,"{'steamid': '76561198886516805', 'num_games_owned': 8, 'num_reviews': 1, 'playtime_forever': 82, 'playtime_last_two_weeks': 82, 'last_played': 1553758533}",0,english,False,50033025,"Game a little rough around the edges, not very fun imo.",True,1554740172,1554740172,False,0,0,0,False
52,"{'steamid': '76561198880262900', 'num_games_owned': 18, 'num_reviews': 1, 'playtime_forever': 183, 'playtime_last_two_weeks': 58, 'last_played': 1554049041}",0,english,False,50032961,Gooooooooooooos,True,1554739886,1554739886,True,0,0,0,False
53,"{'steamid': '76561198344601412', 'num_games_owned': 35, 'num_reviews': 2, 'playtime_forever': 52568, 'playtime_last_two_weeks': 128, 'last_played': 1554745866}",0,english,False,50031355,Ver Gud,True,1554734011,1554734011,True,0,0,0,False
